OA_2001_old,OA_2001,IN500Cent,OUT500Cent,IN750Cent,OUT750Cent,IN1000Cent,OUT1000Cent
00BDGL0019,E00019568,0,0,0,0,0,0
00BDFY0003,E00019144,0,0,0,0,0,0
00BDGG0019,E00019426,0,0,0,0,0,0
00BDGC0021,E00019293,0,0,0,0,0,0
00ASGX0022,E00012441,0,0,0,0,0,0
00ATGJ0029,E00013082,0,0,0,0,0,0
00BDGB0012,E00019252,0,0,0,0,0,0
00AHGX0014,E00005586,0,0,0,0,0,0
00BDGB0001,E00019241,0,0,0,0,0,0
00BJGC0017,E00022642,0,0,0,0,0,0
00BDFY0013,E00019154,0,0,0,0,0,0
00AXFX0017,E00014691,0,0,0,0,0,0
00AXFX0012,E00014686,0,0,0,0,0,0
00AXGL0010,E00015079,0,0,0,0,0,0
00AXGL0036,E00015105,0,0,0,0,0,0
00BBGE0019,E00017740,0,0,0,0,0,0
00AXGL0033,E00015102,0,0,0,0,0,0
00AXGL0037,E00015106,0,0,0,0,0,0
00AXGK0031,E00015065,0,0,0,0,0,0
00AXFY0032,E00014733,0,0,0,0,0,0
00BDFY0014,E00019155,0,0,0,0,0,0
00BDGL0035,E00019584,0,0,0,0,0,0
00BDFY0016,E00019157,0,0,0,0,0,0
00BDGL0014,E00019563,0,0,0,0,0,0
00BDGL0007,E00019556,0,0,0,0,0,0
00BAFZ0011,E00017046,0,0,0,0,0,0
00BJGF0001,E00022768,0,0,0,0,0,0
00AXGK0012,E00015046,0,0,0,0,0,0
00BJGL0031,E00023031,0,0,0,0,0,0
00AXGF0013,E00014930,0,0,0,0,0,0
00ANGB0014,E00009284,0,0,0,0,0,0
00AJHA0004,E00006823,0,0,0,0,0,0
00AJHA0045,E00006864,0,0,0,0,0,0
00BDGC0006,E00019278,0,0,0,0,0,0
00AJGC0006,E00005971,0,0,0,0,0,0
00AXGD0024,E00014882,0,0,0,0,0,0
00AXGD0022,E00014880,0,0,0,0,0,0
00AXGD0015,E00014873,0,0,0,0,0,0
00AJGC0044,E00006009,0,0,0,0,0,0
00AXGA0021,E00014788,0,0,0,0,0,0
00AXGD0028,E00014886,0,0,0,0,0,0
00AXGD0025,E00014883,0,0,0,0,0,0
00AXGG0008,E00014957,0,0,0,0,0,0
00AJGG0043,E00006178,0,0,0,0,0,0
00AXGA0007,E00014774,0,0,0,0,0,0
00AXGA0027,E00014794,0,0,0,0,0,0
00AXGG0007,E00014956,0,0,0,0,0,0
00AXGG0009,E00014958,0,0,0,0,0,0
00AXGG0023,E00014972,0,0,0,0,0,0
00AXGG0020,E00014969,0,0,0,0,0,0
00AXGG0021,E00014970,0,0,0,0,0,0
00AJGF0042,E00006132,0,0,0,0,0,0
00BJGU0018,E00023384,0,0,0,0,0,0
00AXGE0001,E00014889,0,0,0,0,0,0
00AJGM0029,E00006380,0,0,0,0,0,0
00AJGF0041,E00006131,0,0,0,0,0,0
00AJGF0044,E00006134,0,0,0,0,0,0
00BJGH0019,E00022877,0,0,0,0,0,0
00BFGP0034,E00020923,0,0,0,0,0,0
00BFGE0006,E00020601,0,0,0,0,0,0
00BFGE0013,E00020608,0,0,0,0,0,0
00BFGP0037,E00020926,0,0,0,0,0,0
00AHGQ0042,E00005363,0,0,0,0,0,0
00AHGQ0043,E00005364,0,0,0,0,0,0
00BFGP0035,E00020924,0,0,0,0,0,0
00BEGK0011,E00019976,0,0,0,0,0,1
00AJGD0032,E00006042,0,0,0,0,0,0
00AJGD0041,E00006051,0,0,0,0,0,0
00AJGD0033,E00006043,0,0,0,0,0,0
00AJGG0012,E00006147,0,0,0,0,0,0
00BFGP0005,E00020894,0,0,0,0,0,0
00BFGP0026,E00020915,0,0,0,0,0,0
00ASGP0017,E00012190,0,0,0,0,0,0
00ASGP0013,E00012186,0,0,0,0,0,0
00AHGR0023,E00005387,0,0,0,0,0,0
00ATGE0008,E00012927,0,0,0,0,0,0
00BFGP0002,E00020891,0,0,0,0,0,0
00ASGP0003,E00012176,0,0,0,0,0,0
00AJGC0017,E00005982,0,0,0,0,0,0
00BFGP0003,E00020892,0,0,0,0,0,0
00AJGX0012,E00006724,0,0,0,0,0,0
00AJGX0011,E00006723,0,0,0,0,0,0
00AJGX0018,E00006730,0,0,0,0,0,0
00ASGW0024,E00012407,0,0,0,0,0,0
00ASGW0035,E00012418,0,0,0,0,0,0
00BFGD0033,E00020595,0,0,0,0,0,0
00ASGJ0021,E00012031,0,0,0,0,0,0
00ASHC0027,E00012630,0,0,0,0,0,0
00BJGF0041,E00022808,0,0,0,0,0,0
00BAGA0021,E00017088,0,0,0,0,0,0
00BAGA0034,E00017101,0,0,0,0,0,0
00AJGX0009,E00006721,0,0,0,0,0,0
00BAGB0024,E00017125,0,0,0,0,0,0
00BFGS0011,E00021011,0,0,0,0,0,0
00BFGS0020,E00021020,0,0,0,0,0,0
00ASHD0015,E00012653,0,0,0,0,0,0
00BDGL0021,E00019570,0,0,0,0,0,0
00BFGQ0005,E00020933,0,0,0,0,0,0
00BFGP0019,E00020908,0,0,0,0,0,0
00BFGP0029,E00020918,0,0,0,0,0,0
00BFGQ0011,E00020939,0,0,0,0,0,0
00BFGQ0012,E00020940,0,0,0,0,0,0
00BFGP0021,E00020910,0,0,0,0,0,0
00BFGS0024,E00021024,0,0,0,0,0,0
00BFGD0016,E00020578,0,0,0,0,0,0
00BFGD0008,E00020570,0,0,0,0,0,0
00BFGS0014,E00021014,0,0,0,0,0,0
00BFGS0025,E00021025,0,0,0,0,0,0
00BFGP0020,E00020909,0,0,0,0,0,0
00BAGA0015,E00017082,0,0,0,0,0,0
00BFGT0031,E00021066,0,0,0,0,0,0
00BFGP0032,E00020921,0,0,0,0,0,0
00BFGP0033,E00020922,0,0,0,0,0,0
00ASGP0014,E00012187,0,0,0,0,0,0
00ASGP0027,E00012200,0,0,0,0,0,0
00ATGC0008,E00012865,0,0,0,0,0,0
00ATGC0011,E00012868,0,0,0,0,0,0
00ATGC0007,E00012864,0,0,0,0,0,0
00BFGP0028,E00020917,0,0,0,0,0,0
00BFGP0031,E00020920,0,0,0,0,0,0
00BFGQ0032,E00020960,0,0,0,0,0,0
00BAGF0004,E00017235,0,0,0,0,0,0
00BAGC0021,E00017156,0,0,0,0,0,0
00ASHD0013,E00012651,0,0,0,0,0,0
00AJGY0019,E00006778,0,0,0,0,0,0
00AJGH0004,E00006184,0,0,0,0,0,0
00ANGR0030,E00009823,0,0,0,0,0,0
00BFGT0032,E00021067,0,0,0,0,0,0
00ANGR0031,E00009824,0,0,0,0,0,0
00ASHD0007,E00012645,0,0,0,0,0,0
00ASHD0006,E00012644,0,0,0,0,0,0
00AHGQ0034,E00005355,0,0,0,0,0,0
00BJGS0013,E00023289,0,0,0,0,0,0
00ASHD0009,E00012647,0,0,0,0,0,0
00BJGS0036,E00023312,0,0,0,0,0,0
00BJGS0009,E00023285,0,0,0,0,0,0
00ASHD0035,E00012673,0,0,0,0,0,0
00ASGG0026,E00011966,0,0,0,0,0,0
00BFGP0025,E00020914,0,0,0,0,0,0
00BFGP0006,E00020895,0,0,0,0,0,0
00BFGP0013,E00020902,0,0,0,0,0,0
00BFGP0015,E00020904,0,0,0,0,0,0
00BFGP0017,E00020906,0,0,0,0,0,0
00BAFX0015,E00016986,0,0,0,0,0,0
00ATGB0021,E00012839,0,0,0,0,0,0
00BJGF0018,E00022785,0,0,0,0,0,0
00BJGF0015,E00022782,0,0,0,0,0,0
00BFGM0020,E00020837,0,0,0,0,0,0
00BJGH0020,E00022878,0,0,0,0,0,0
00BFGM0039,E00020856,0,0,0,0,0,0
00AYGM0018,E00015726,0,0,0,0,0,0
00ATGH0004,E00013027,0,0,0,0,0,0
00AJGC0043,E00006008,0,0,0,0,0,0
00BJGP0030,E00023168,0,0,0,0,0,0
00ANGM0005,E00009648,0,0,0,0,0,0
00ANGM0011,E00009654,0,0,0,0,0,0
00BJGC0044,E00022669,0,0,0,0,0,0
00AYGR0044,E00015933,0,0,0,0,0,0
00AYGR0010,E00015899,0,0,0,0,0,0
00AYGR0007,E00015896,0,0,0,0,0,0
00BFGM0006,E00020823,0,0,0,0,0,0
00AYGR0008,E00015897,0,0,0,0,0,0
00BFGM0002,E00020819,0,0,0,0,0,0
00BJGA0045,E00022576,0,0,0,0,0,0
00ANGR0036,E00009829,0,0,0,0,0,0
00BJGE0019,E00022742,0,0,0,0,0,0
00BJGA0046,E00022577,0,0,0,0,0,0
00BFGF0024,E00020654,0,0,0,0,0,0
00ANGM0018,E00009661,0,0,0,0,0,0
00AHGL0004,E00005135,0,0,0,0,0,0
00ASGN0012,E00012160,0,0,0,0,0,0
00ASGN0009,E00012157,0,0,0,0,0,0
00BAGA0024,E00017091,0,0,0,0,0,0
00BAGA0023,E00017090,0,0,0,0,0,0
00AYGR0032,E00015921,0,0,0,0,0,0
00AYGH0047,E00015572,0,0,0,0,0,0
00BAGP0003,E00017480,0,0,0,0,0,0
00BAGP0006,E00017483,0,0,0,0,0,0
00AHGS0043,E00005438,0,0,0,0,0,0
00AYGR0020,E00015909,0,0,0,0,0,0
00AYGR0023,E00015912,0,0,0,0,0,0
00BDFY0002,E00019143,0,0,0,0,0,0
00BDGC0029,E00019301,0,0,0,0,0,0
00BJGB0013,E00022592,0,0,0,0,0,0
00BJGD0004,E00022681,0,0,0,0,0,0
00BJGH0037,E00022895,0,0,0,0,0,0
00BJGA0026,E00022557,0,0,0,0,0,0
00BJGA0035,E00022566,0,0,0,0,0,0
00BJGA0036,E00022567,0,0,0,0,0,0
00AJGC0037,E00006002,0,0,0,0,0,0
00BJGP0007,E00023145,0,0,0,0,0,0
00BJGP0047,E00023185,0,0,0,0,0,0
00AHGQ0008,E00005329,0,0,0,0,0,0
00AHGQ0005,E00005326,0,0,0,0,0,0
00AHGQ0029,E00005350,0,0,0,0,0,0
00AHHD0025,E00005885,0,0,0,0,0,0
00BJGT0018,E00023337,0,0,0,0,0,0
00AHGS0023,E00005418,0,0,0,0,0,0
00BJGT0005,E00023324,0,0,0,0,0,0
00BJGB0034,E00022613,0,0,0,0,0,0
00AXGG0016,E00014965,0,0,0,0,0,0
00BJGD0031,E00022708,0,0,0,0,0,0
00BDGG0011,E00019418,0,0,0,0,0,0
00BJGD0041,E00022718,0,0,0,0,0,0
00AYGM0020,E00015728,0,0,0,0,0,0
00AYGM0014,E00015722,0,0,0,0,0,0
00BDGG0027,E00019434,0,0,0,0,0,0
00BJGA0042,E00022573,0,0,0,0,0,0
00AQGM0003,E00010965,0,0,0,0,0,0
00AXGG0003,E00014952,0,0,0,0,0,0
00AYGM0040,E00015748,0,0,0,0,0,0
00AHGH0040,E00005045,0,0,0,0,0,0
00AHGM0009,E00005195,0,0,0,0,0,0
00AHGM0010,E00005196,0,0,0,0,0,0
00AHGM0041,E00005227,0,0,0,0,0,0
00AHGS0034,E00005429,0,0,0,0,0,0
00AJGE0012,E00006068,0,0,0,0,0,0
00AWGN0030,E00014574,0,0,0,0,0,0
00ASGM0028,E00012140,0,0,0,0,0,0
00AYGR0026,E00015915,0,0,0,0,0,0
