"","Year","Buffer","Cars"
"1","2001","In",58.39035
"2","2002","In",60.12719
"3","2003","In",61.41886
"4","2004","In",61.92763
"5","2005","In",62.69518
"6","2006","In",63.54825
"7","2007","In",62.84649
"8","2008","In",61.60965
"9","2009","In",60.74561
"10","2010","In",60.01754
"11","2011","In",58.66009
"12","2012","In",57.1886
"13","2013","In",56.77412
"14","2001","Rest",90.70754
"15","2002","Rest",92.52556
"16","2003","Rest",93.81711
"17","2004","Rest",95.60456
"18","2005","Rest",96.99181
"19","2006","Rest",96.84263
"20","2007","Rest",97.39515
"21","2008","Rest",98.04723
"22","2009","Rest",98.00103
"23","2010","Rest",97.90074
"24","2011","Rest",97.2142
"25","2012","Rest",96.83977
"26","2013","Rest",97.38088
"27","2001","Out",58.05455
"28","2002","Out",59.17662
"29","2003","Out",59.5013
"30","2004","Out",60.37662
"31","2005","Out",60.97403
"32","2006","Out",59.69351
"33","2007","Out",59.02338
"34","2008","Out",59.89091
"35","2009","Out",60.73247
"36","2010","Out",60.58182
"37","2011","Out",60.02078
"38","2012","Out",58.53506
"39","2013","Out",58.15584
