"","Year","Buffer","Cars"
"1","2001","In",53.96943
"2","2002","In",55.8559
"3","2003","In",57.90393
"4","2004","In",58.93013
"5","2005","In",59.46725
"6","2006","In",60.72052
"7","2007","In",60.32314
"8","2008","In",59.31004
"9","2009","In",58.68996
"10","2010","In",57.93013
"11","2011","In",56.62882
"12","2012","In",55.45852
"13","2013","In",55.31004
"14","2001","Rest",90.19609
"15","2002","Rest",92.00236
"16","2003","Rest",93.2833
"17","2004","Rest",95.04239
"18","2005","Rest",96.42108
"19","2006","Rest",96.26599
"20","2007","Rest",96.79781
"21","2008","Rest",97.42994
"22","2009","Rest",97.38365
"23","2010","Rest",97.27465
"24","2011","Rest",96.58384
"25","2012","Rest",96.18837
"26","2013","Rest",96.70747
"27","2001","Out",56.41304
"28","2002","Out",58.05978
"29","2003","Out",57.80435
"30","2004","Out",59.25543
"31","2005","Out",59.65761
"32","2006","Out",58.66848
"33","2007","Out",57.50543
"34","2008","Out",58.66848
"35","2009","Out",59.17935
"36","2010","Out",59.40217
"37","2011","Out",58.65217
"38","2012","Out",57.03804
"39","2013","Out",57.08696
