"","Year","Buffer","Cars"
"1","2000","In",47.41549
"2","2001","In",48.89789
"3","2002","In",52.19718
"4","2003","In",53.2007
"5","2004","In",53.2007
"6","2005","In",53.5669
"7","2006","In",52.35211
"8","2000","Rest",91.37501
"9","2001","Rest",94.01864
"10","2002","Rest",95.90212
"11","2003","Rest",97.247
"12","2004","Rest",99.11312
"13","2005","Rest",100.56656
"14","2006","Rest",100.43255
"15","2000","Out",49.72911
"16","2001","Out",51.6513
"17","2002","Out",51.90778
"18","2003","Out",52.44957
"19","2004","Out",52.8732
"20","2005","Out",52.72911
"21","2006","Out",52.36888
