"","Year","BuffExtRer","Cars"
"1","2001","In",61.12903
"2","2002","In",63.36559
"3","2003","In",65.82796
"4","2004","In",67.65591
"5","2005","In",68.2043
"6","2006","In",68.82796
"7","2007","In",67.83871
"8","2008","In",66.83871
"9","2009","In",65.7957
"10","2010","In",65.02151
"11","2011","In",63.06452
"12","2012","In",61.27957
"13","2013","In",60.67742
"14","2001","Rest",93.13825
"15","2002","Rest",95.01795
"16","2003","Rest",96.35006
"17","2004","Rest",98.17503
"18","2005","Rest",99.60114
"19","2006","Rest",99.44811
"20","2007","Rest",99.99441
"21","2008","Rest",100.64305
"22","2009","Rest",100.5402
"23","2010","Rest",100.30798
"24","2011","Rest",99.44039
"25","2012","Rest",98.80126
"26","2013","Rest",99.09709
"27","2001","Out",51.9375
"28","2002","Out",52.5125
"29","2003","Out",51.6875
"30","2004","Out",53.0375
"31","2005","Out",52.9375
"32","2006","Out",52.8
"33","2007","Out",51.65
"34","2008","Out",54.6
"35","2009","Out",57.9
"36","2010","Out",58.475
"37","2011","Out",57.15
"38","2012","Out",55.9125
"39","2013","Out",55.75
