"","Year","BuffExtRer","Cars"
"1","2001","In",65.62069
"2","2002","In",67.85632
"3","2003","In",69.08046
"4","2004","In",69.83621
"5","2005","In",70.62931
"6","2006","In",71.00862
"7","2007","In",69.77874
"8","2008","In",68.2931
"9","2009","In",67.37069
"10","2010","In",66.57471
"11","2011","In",65.29023
"12","2012","In",63.87069
"13","2013","In",63.10057
"14","2001","Rest",93.81126
"15","2002","Rest",95.70627
"16","2003","Rest",97.05832
"17","2004","Rest",98.91613
"18","2005","Rest",100.37039
"19","2006","Rest",100.2291
"20","2007","Rest",100.807
"21","2008","Rest",101.46446
"22","2009","Rest",101.33294
"23","2010","Rest",101.10252
"24","2011","Rest",100.22513
"25","2012","Rest",99.60098
"26","2013","Rest",99.91907
"27","2001","Out",56.56305
"28","2002","Out",56.81818
"29","2003","Out",56.69208
"30","2004","Out",57.24047
"31","2005","Out",56.78006
"32","2006","Out",55.49267
"33","2007","Out",54.86217
"34","2008","Out",57.17302
"35","2009","Out",60.41935
"36","2010","Out",60.68035
"37","2011","Out",60.50733
"38","2012","Out",59.18182
"39","2013","Out",58.68328
