"","Year","Buffer","Cars"
"1","2000","In",47.28842
"2","2001","In",48.48227
"3","2002","In",51.8818
"4","2003","In",52.85106
"5","2004","In",53.13948
"6","2005","In",53.8227
"7","2006","In",52.64775
"8","2000","Rest",92.25859
"9","2001","Rest",94.92288
"10","2002","Rest",96.81414
"11","2003","Rest",98.17891
"12","2004","Rest",100.0782
"13","2005","Rest",101.55242
"14","2006","Rest",101.43125
"15","2000","Out",49.83019
"16","2001","Out",51.83164
"17","2002","Out",52.28882
"18","2003","Out",52.65457
"19","2004","Out",52.88534
"20","2005","Out",52.86502
"21","2006","Out",52.38171
