"","Year","BuffExtRer","Cars"
"1","2001","In",63.00995
"2","2002","In",65.22388
"3","2003","In",66.8806
"4","2004","In",67.89055
"5","2005","In",68.39303
"6","2006","In",68.9204
"7","2007","In",67.46766
"8","2008","In",65.77114
"9","2009","In",65.29851
"10","2010","In",64.38806
"11","2011","In",62.8607
"12","2012","In",61.25871
"13","2013","In",60.42786
"14","2001","Rest",93.44285
"15","2002","Rest",95.32713
"16","2003","Rest",96.66495
"17","2004","Rest",98.50598
"18","2005","Rest",99.94391
"19","2006","Rest",99.79799
"20","2007","Rest",100.35888
"21","2008","Rest",101.01524
"22","2009","Rest",100.89805
"23","2010","Rest",100.66917
"24","2011","Rest",99.79891
"25","2012","Rest",99.16639
"26","2013","Rest",99.47027
"27","2001","Out",52.2033
"28","2002","Out",52.72527
"29","2003","Out",52.58242
"30","2004","Out",53.00549
"31","2005","Out",52.79121
"32","2006","Out",51.36264
"33","2007","Out",50.68132
"34","2008","Out",53.08242
"35","2009","Out",56.27473
"36","2010","Out",56.43407
"37","2011","Out",55.88462
"38","2012","Out",54.5989
"39","2013","Out",54.42857
