"","Year","Buffer","Cars"
"1","2000","In",47.23497
"2","2001","In",49.15301
"3","2002","In",52.82514
"4","2003","In",53.68852
"5","2004","In",53.69945
"6","2005","In",54.01639
"7","2006","In",54.01639
"8","2000","Rest",90.88708
"9","2001","Rest",93.51872
"10","2002","Rest",95.39335
"11","2003","Rest",96.73433
"12","2004","Rest",98.58347
"13","2005","Rest",100.02175
"14","2006","Rest",100.02175
"15","2000","Out",50.125
"16","2001","Out",51.84659
"17","2002","Out",52.14205
"18","2003","Out",52.38068
"19","2004","Out",52.61364
"20","2005","Out",52.39205
"21","2006","Out",52.39205
