"","Year","Buffer","Cars"
"1","2001","In",60.27848
"2","2002","In",61.84019
"3","2003","In",63.01741
"4","2004","In",63.48576
"5","2005","In",64.21519
"6","2006","In",64.8481
"7","2007","In",64.08228
"8","2008","In",62.79114
"9","2009","In",61.9462
"10","2010","In",61.3038
"11","2011","In",59.92563
"12","2012","In",58.63924
"13","2013","In",57.98892
"14","2001","Rest",91.09443
"15","2002","Rest",92.92714
"16","2003","Rest",94.22409
"17","2004","Rest",96.03159
"18","2005","Rest",97.4337
"19","2006","Rest",97.29146
"20","2007","Rest",97.86451
"21","2008","Rest",98.53287
"22","2009","Rest",98.48265
"23","2010","Rest",98.38689
"24","2011","Rest",97.70469
"25","2012","Rest",97.34221
"26","2013","Rest",97.90444
"27","2001","Out",59.13869
"28","2002","Out",60.05657
"29","2003","Out",60.56569
"30","2004","Out",61.29745
"31","2005","Out",61.72628
"32","2006","Out",60.41241
"33","2007","Out",59.68978
"34","2008","Out",60.45438
"35","2009","Out",61.44708
"36","2010","Out",61.21715
"37","2011","Out",60.66971
"38","2012","Out",59.13321
"39","2013","Out",58.68796
