"","Year","Buffer","Cars"
"1","2000","In",46.55402
"2","2001","In",47.83102
"3","2002","In",51.19945
"4","2003","In",52.31025
"5","2004","In",52.69806
"6","2005","In",53.1856
"7","2006","In",51.96122
"8","2000","Rest",91.83035
"9","2001","Rest",94.49007
"10","2002","Rest",96.37657
"11","2003","Rest",97.72623
"12","2004","Rest",99.60675
"13","2005","Rest",101.0743
"14","2006","Rest",100.94858
"15","2000","Out",49.35433
"16","2001","Out",51.09055
"17","2002","Out",51.46063
"18","2003","Out",52.01378
"19","2004","Out",52.24213
"20","2005","Out",52.0374
"21","2006","Out",51.53937
